naziv;¹ifra;marka;neto kolièina;jedinica mjere;MPC;cijena za jedinicu mjere;MPC za vrijeme posebnog oblika prodaje;Najni¾a cijena u posljednjih 30 dana;datum sidrene cijene;sidrena cijena na 2.5.2025.;barkod;kategorija proizvoda
ROLL ON ZIAJA SENSITIVE 60 ml;378117;Ziaja;0.0600;L;2.49;41.50;;;02.05.2025;2.49;5901887028208;Kozmetika
ROLL ON ZIAJA ACTIVE 60 ml;378119;Ziaja;0.0600;L;2.49;41.50;;;02.05.2025;2.49;5901887010548;Kozmetika
MASKA ZIAJA MLIJEKO 200 ml;378120;Ziaja;0.2000;L;4.19;20.95;;;02.05.2025;4.19;5901887035534;Kozmetika
REGENER.ZIAJA MLIJEKO 200 ml;378121;Ziaja;0.2000;L;3.39;16.95;;;02.05.2025;3.39;5901887051312;Kozmetika
©AMPON ZIAJA MLIEKO 400 ml;378122;Ziaja;0.4000;L;4.89;12.23;;;02.05.2025;4.89;5901887035459;Kozmetika
TONIK ZIAJA ACAI BERRY 200 ml;378124;zhengwei zhang;0.2000;L;4.79;23.95;;;02.05.2025;4.79;5901887042259;Kozmetika
MICELARNA VODA ZIAJA 390 ml;378125;Ziaja;0.3900;L;5.39;13.82;;;02.05.2025;5.39;5901887050018;Kozmetika
RI®INE PAHULJICE HIPP 200 g;378135;Hipp;0.2000;kg;2.39;11.95;;;02.05.2025;2.39;9062300113478;Hrana
KOLAÈ MINI KREM©NITE 270 g;378136;;0.2700;kg;;11.07;2.99;3.34;02.05.2025;3.34;3858889619144;Hrana
ÈIPS PRINGLES SIR I LUK 165 g;378137;Pringles;0.1650;kg;1.79;10.85;;1.75;02.05.2025;3.49;5053990127641;Hrana
KOLAÈ MINI ZAG.KREM©NITE 300 g;378138;;0.3000;kg;;10.63;3.19;3.57;02.05.2025;3.57;3858889619120;Hrana
OME.ORNEL LUNAR 800 ml;378140;Ornel;0.8000;l;2.19;2.74;;1.99;02.05.2025;3.29;3850105186492;Sredstva za èi¹æenje
SRE.PINK STUFF ZA ÈI©ÆE.750 ml;378145;;0.7500;L;2.99;3.99;;;02.05.2025;2.99;5060033823682;Sredstva za èi¹æenje
INST.KAVA NESC.CREM.VREÆ.150 g;378148;Nescafe;0.1500;KG;7.39;49.27;;;02.05.2025;7.39;8445291256323;Piæa
SRE.PINK STUFF ZA KUPAO.750 ml;378150;;0.7500;L;2.99;3.99;;;02.05.2025;2.99;5060033820117;Sredstva za èi¹æenje
