"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";NETO_KOLIČINA;"JEDINICA_MJERE";MALOPROD.CIJENA(EUR);CIJENA_ZA_JEDINICU_MJERE;MPC_POSEB.OBLIK_PROD;POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE;NAJNIŽA_MPC_U_30DANA;SIDRENA_CIJENA;"BARKOD";"KATEGORIJA_PROIZVODA"
"PANIRANI SURIMI OKUS RAKOVA 250g";"005003901";"ATHENA";0.25;"KG";2.39;9.56;0;0;0;2.39;"8000489020416";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"PANIRANI SURIMI OKUS RAKOVA 250g";"005003901";"ATHENA";0.25;"KG";2.39;9.56;0;0;0;2.39;"8001209001715";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"PANIRANI SURIMI OKUS RAKOVA 250g";"005003901";"ATHENA";0.25;"KG";2.39;9.56;0;0;0;2.39;"8032745830071";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"PANIRANI SURIMI OKUS RAKOVA 250g";"005003901";"ATHENA";0.25;"KG";2.39;9.56;0;0;0;2.39;"8011702101706";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"PANIRANI SURIMI OKUS RAKOVA 250g";"005003901";"ATHENA";0.25;"KG";2.39;9.56;0;0;0;2.39;"6926363200014";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"PANIRANI SURIMI OKUS RAKOVA 250g";"005003901";"ATHENA";0.25;"KG";2.39;9.56;0;0;0;2.39;"4770190049580";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"PANIRANI SURIMI OKUS RAKOVA 250g";"005003901";"ATHENA";0.25;"KG";2.39;9.56;0;0;0;2.39;"8017596040442";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"KOLAČ 2 VRSTE MRAMORNI 400g";"005049201";"DOLCIANDO";0.4;"KG";2.19;5.48;0;0;0;2.19;"41015445";"TORTE I ROLADE"
"KOLAČ 2 VRSTE MRAMORNI 400g";"005049201";"DOLCIANDO";0.4;"KG";2.19;5.48;0;0;0;2.19;"8017596009180";"TORTE I ROLADE"
"KOLAČ 2 VRSTE MRAMORNI 400g";"005049201";"DOLCIANDO";0.4;"KG";2.19;5.48;0;0;0;2.19;"8017596057211";"TORTE I ROLADE"
"KOLAČ STRACCIATELLA 400g";"005049202";"DOLCIANDO";0.4;"KG";2.19;5.48;1.69;4.23;2.19;2.19;"42000198";"TORTE I ROLADE"
"KOLAČ STRACCIATELLA 400g";"005049202";"DOLCIANDO";0.4;"KG";2.19;5.48;1.69;4.23;2.19;2.19;"8017596009173";"TORTE I ROLADE"
"VINO MONTEPU. D'ABRUZZO DOC 1500ml";"005051801";"NO BRAND";1.5;"LT";4.42;2.95;0;0;0;4.42;"8004300024805";"VINA"
"VINO MONTEPU. D'ABRUZZO DOC 1500ml";"005051801";"NO BRAND";1.5;"LT";4.42;2.95;0;0;0;4.42;"8000013003113";"VINA"
"VINO MONTEPU. D'ABRUZZO DOC 1500ml";"005051801";"NO BRAND";1.5;"LT";4.42;2.95;0;0;0;4.42;"8008530015084";"VINA"
"VINO MONTEPU. D'ABRUZZO DOC 1500ml";"005051801";"NO BRAND";1.5;"LT";4.42;2.95;0;0;0;4.42;"8001651337127";"VINA"
"VINO MONTEPU. D'ABRUZZO DOC 1500ml";"005051801";"NO BRAND";1.5;"LT";4.42;2.95;0;0;0;4.42;"8005228037731";"VINA"
"VINO MONTEPU. D'ABRUZZO DOC 1500ml";"005051801";"NO BRAND";1.5;"LT";4.42;2.95;0;0;0;4.42;"8000128095171";"VINA"
"ŠUNKA SUHA";"005160703";"LA BOTTEGA DEL GUSTO";1;"KG";14.99;14.99;0;0;0;14.99;"";"SALAME SVJEŽE - TEŽINSKE"
"ZAČINI ZA TJESTENINU 50g";"005386801";"DON JEREZ";0.05;"KG";0.99;19.8;0;0;0;0.99;"80630470";"RAJČICA/DODACI"
"ZAČINI ZA TJESTENINU 50g";"005386801";"DON JEREZ";0.05;"KG";0.99;19.8;0;0;0;0.99;"8017596008718";"RAJČICA/DODACI"
"ZAČINI ZA TJESTENINU 50g";"005386801";"DON JEREZ";0.05;"KG";0.99;19.8;0;0;0;0.99;"8017596015631";"RAJČICA/DODACI"
"JUNEĆA KOLJENICA SK.";"005482201";"NO BRAND";1;"KG";9.48;9.48;0;0;0;9.48;"";"MESO GOVEĐE"
"SOLNA KISELINA 1L";"005547501";"DEXAL";1;"LT";0.99;0.99;0;0;0;0.99;"8007930811081";"SREDSTVA ZA ČIŠĆENJE"
