Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
TORTILJA QUINOA I CHIA 25 CM,370 G,6 KOM MISSION FOODS;875910;MISSION FOODS;0,370 KG;KOM;2,65;7,16;;;2,65;8710637106045;HRANA;
TORTILJA OD ZOBI I PIRA 25 CM, 370 G, 6 KOM MISSION FOODS;875914;MISSION FOODS;0,370 KG;KOM;2,79;7,54;;;2,79;8710637105376;HRANA;
COUS COUS INTEGRALNI 500 G TIPIAK;875918;TIPIAK;0,500 KG;KOM;5,15;10,30;;;5,15;3600900005043;HRANA;
PIVO KARLOVACKO 5% 2 L;875988;KARLOVACKO;2 L;KOM;3,62;1,81;;;3,62;3850103902162;PICE;
PIVO KARLOVACKO RADLER CRNI LIMUN 2% 0,5 L LIM;876011;KARLOVACKO;0,500 L;KOM;1,54;3,08;;;1,54;3850103902094;PICE;
PIZZA SALAMI 320 G;876057;FREIBERGER;0,320 KG;KOM;2,99;9,34;;;2,99;4002084180209;HRANA;
KUK.SECERAC 3 X 150 G PLODINE;876066;FRESH GARDEN;0,420 KG;KOM;2,09;4,98;;;2,09;3856022691927;HRANA;
GILL.BLUE3 JED.BRIT.3 KOM  SPORT;876073;GILLETTE;3 KOM;KOM;5,29;1,76;;;5,29;7702018531813;DROGERIJA;
VIGO PRIJA.FOLIJA PERFORIRANA 30 M;876104;VIGO;;KOM;1,86;;;;1,86;5902841450585;PROIZVODI ZA KUCANSTVO;
VIGO ALUMINIJSKA FOLIJA XXL  U ROLI 50 M;876107;VIGO;;KOM;5,09;;;;5,97;5902841450066;PROIZVODI ZA KUCANSTVO;
SMOOTHIE CRVENO VOCE 0,25 L SONATURAL;876109;SONATURAL;0,250 L;KOM;1,72;6,88;;;1,72;5603493003293;PICE;
SMOOTHIE GINGER UP DUMBIR JABUKA 0,25 L SONATURAL;876110;SONATURAL;0,250 L;KOM;1,72;6,88;;;1,72;5603493007379;PICE;
SMOOTHIE NARANCA 100% 0,25 L SONATURAL;876111;SONATURAL;0,250 L;KOM;1,72;6,88;;;1,72;5603493008212;PICE;
SMOOTHIE MANGO MIX 0,25 L SONATURAL;876114;SONATURAL;0,250 L;KOM;1,72;6,88;;;1,72;5603493003258;PICE;
NILA 2,7 L MY SENSUAL BLACK;876143;NILA;2,7 L;KOM;9,29;3,44;;;9,29;3850105169631;DROGERIJA;
NILA 2,7 L MY CUTE BABY;876146;NILA;2,7 L;KOM;9,29;3,44;;;9,29;3850105169600;DROGERIJA;
NILA 2,7 L MY HAPPY COLORS;876147;NILA;2,7 L;KOM;9,29;3,44;;;9,29;3850105169662;DROGERIJA;
COCKTAIL YACHTING PINA COLADA 17% 0,7 L;876155;YACHTING;0,700 L;KOM;7,99;11,41;;;7,99;3014400178662;PICE;
CROISSANT KAKAO/VANIL.MULTIPACK 240 G 7 DAY'S;876217;CHIPITA;0,240 KG;KOM;3,99;16,63;;;3,99;7622202049309;HRANA;
KEKSI S VLAKNIMA BEZ SECERA 170 G GULLON;876220;GULLON;0,170 KG;KOM;1,29;7,59;;;1,99;8410376039733;HRANA;
DIGESTIVE CLASSIC 400 G GULLON;876221;;0,400 KG;KOM;1,72;4,30;;;1,72;8410376016789;HRANA;
SOMERSBY LUBENICA 0,5 L LIM;876296;SOMERSBY;0,500 L;KOM;1,78;3,56;;;1,78;3858887583393;PICE;
AMBRE SOLAIRE NATIRAL BRONZER PJENA ZA SAMOTAMNJENJE 200 ML;876308;AMBRE SOLAIRE;0,200 L;KOM;14,99;74,95;;;14,99;3600542298278;DROGERIJA;
AMBRE SOLAIRE SENSITIVE ADVENCED SPF 50 40ML;876310;AMBRE SOLAIRE;0,040 L;KOM;13,99;349,75;;;13,99;3600542297813;DROGERIJA;
PIQUIT ACTIVA REPELLENT  100 ML SPRAY LOSION;876363;OLIVAL;0,100 L;KOM;8,49;84,90;;;8,49;3858892692707;DROGERIJA;
SLAG SPREJ MIX  250 G HOPLA;876420;HOPLA;0,250 KG;KOM;2,25;9,00;;;2,25;8000005026069;HRANA;
ASEPTOL 20 KOM;876446;ASEPTOL;20 KOM;KOM;,8;0,04;;;,8;3859890063100;DROGERIJA;
NIVEA BRONZE LOSION POSLIJE SUNCANJA 200 ML;876457;NIVEA;0,200 L;KOM;9,99;49,95;;;9,99;9005800326788;DROGERIJA;
BOMBONI ZELE BONELLE 1 KG;876470;BONELLE;1 KG;KOM;6,49;6,49;;;6,49;8006150100128;HRANA;
S.SOMUN SLAPICA 120 G (876473 PDV 5 %) DON DON;876472;DON DON PEKARSTVO;0,120 KG;KOM;,49;4,08;;;,49;8606018738564;HRANA;
SOMUN SLAPICA 120 G;876473;DON DON PEKARSTVO;0,120 KG;KOM;;3,25;,39;,39;,49;;HRANA;
BEBIVITA KAS.NOC GRIZ/KEKS/BAN 190 G;876494;VIVERA OSTALO - BEBIVITA;0,190 KG;KOM;1,33;7,00;;;1,33;4018852029342;HRANA;
HIPP 1 BIO COMBIOTIK 600 G;876567;HIPP;0,600 KG;KOM;14,65;24,42;;;14,65;4062300398900;HRANA;
PITROID ALL INSECT KILLER 400ML;876569;PITROID;0,400 L;KOM;5,5;13,75;;;5,5;3856007907760;DROGERIJA;
BRASNO PIROVO INTEGRALNO 1 KG PODRAVKA;876573;PODRAVKA BRASNO,PALENTA I KRUPICE;1 KG;KOM;2,49;2,49;;;2,49;3838700295269;HRANA;
BRASNO HELJDINO 1 KG PODRAVKA;876574;PODRAVKA BRASNO,PALENTA I KRUPICE;1 KG;KOM;3,99;3,99;;;3,99;3838700295276;HRANA;
VEGETA NATUR TEKUCI DODATAK JELIMA 170 ML;876575;VEGETA;0,170 L;KOM;2,09;12,29;;;2,09;3856020235109;HRANA;
PASIRANA RAJCICA NA PARI 700 ML VALFRUTTA;876603;VALFRUTTA;0,700 L;KOM;2,69;3,84;;;2,69;8001440132391;HRANA;
PROTEINSKI NAPITAK KOKOS 0,5 L VINDIJA;876618;VINDIJA-Z'BREGOV PROTEIN;0,500 KG;KOM;;3,98;1,99;1,99;2,49;3850108023657;HRANA;
PROTEINSKI NAPITAK COKOLADA 0,5 L VINDIJA;876621;VINDIJA-Z'BREGOV PROTEIN;0,500 KG;KOM;;3,98;1,99;1,99;2,49;3850108023664;HRANA;
PROTEINSKI NAPITAK COKOLADA KIKIRIKI KEKS 0,5 L VINDIJA;876625;VINDIJA-Z'BREGOV PROTEIN;0,500 KG;KOM;;3,98;1,99;1,99;2,49;3850108023688;HRANA;
CHEESECAKE KREMA 500 G VINDIJA;876627;VINDIJA-Z'BREGOV;0,500 KG;KOM;3,89;7,78;;;3,89;3850108058864;HRANA;
SNACK RIZINI KREKERI PIZZA 40 G FIORENTINI;876635;FIORENTINI;0,040 KG;KOM;,99;24,75;;;,99;8002885001051;HRANA;
SNACK RIZINI KREKERI S MLIJ.COK.100 G FIORENTINI;876637;FIORENTINI;0,100 KG;KOM;1,99;19,90;;;1,99;8002885003192;HRANA;
SNACK KUKURUZNI SLANI 100 G FIORENTINI;876639;FIORENTINI;0,100 KG;KOM;1,59;15,90;;;1,59;8002885007480;HRANA;
SNACK RIZINI KREKERI SLANI 100  G FIORENTINI;876640;FIORENTINI;0,100 KG;KOM;1,59;15,90;;;1,59;8002885007473;HRANA;
SNACK.KUK.KREKERI CHIA BIO 120 G FIORENTINI;876643;FIORENTINI;0,120 KG;KOM;1,59;13,25;;;1,59;8002885007541;HRANA;
SNACK QUINOA BIO B.G.120 G FIORENTINI;876644;FIORENTINI;0,120 KG;KOM;1,59;13,25;;;1,59;8002885005097;HRANA;
OREO FRESH MILK SNACK 27 G;876658;TSC SNACK;0,270 KG;KOM;,69;2,56;;;,69;90426278;HRANA;
CALGON PROT.KAMENCA 700 G;876672;CALGON;0,700 KG;KOM;9,38;13,40;;;9,38;5999109510594;DROGERIJA;
SHEBA DELIK.PILETINA 85 G;876731;MARS PETCARE;0,085 KG;KOM;;12,82;1,09;,87;1,09;4770608247409;HRANA;
SHEBA CRAFT IZBOR PERADI 4 X 85 G;876734;MARS PETCARE;0,340 KG;KOM;3,29;9,68;;;3,29;5900951273636;HRANA;
UMAK GUACAMOLE 320 G OLD EL PASO;876736;OLD EL PASO;0,320 KG;KOM;3,61;11,28;;;4,08;8410076420039;HRANA;
UMAK SALSA 312 G OLD EL PASO;876737;OLD EL PASO;0,312 KG;KOM;3,32;10,64;;;3,79;046000283272;HRANA;
BOURBON VANILIJA STAPIC 2X2 G;876744;DR.OETKER;0,004 KG;KOM;6;1500,00;;;6;5997381367851;HRANA;
CEDEVITA NARANCA 340 ML;876784;CEDEVITA OTG;0,340 L;KOM;1,12;3,29;;;1,12;3850322013366;PICE;
CEDEVITA LIMUN 340 ML;876785;CEDEVITA OTG;0,340 L;KOM;1,12;3,29;;;1,12;3850322013380;PICE;
CEDEVITA LIMETA 340 ML;876786;CEDEVITA OTG;0,340 L;KOM;1,12;3,29;;;1,12;3850322013403;PICE;
CEDEVITA BAZGA LIMUN 340 ML;876787;CEDEVITA OTG;0,340 L;KOM;1,12;3,29;;;1,12;3850322013427;PICE;
CEDEVITA CRVENA NARANCA 340 ML;876788;CEDEVITA OTG;0,340 L;KOM;1,12;3,29;;;1,12;3850322013632;PICE;
MED CVJETNI 1400 G APIMEL;876790;APIMEL MED;1,4 KG;KOM;7,96;5,69;;;7,96;3859888851825;HRANA;
JELO U CASI JAPANSKI KLASIK 93 G AJINOMOTO;876791;AJINOMOTO;0,093 KG;KOM;1,89;20,32;;;1,89;5901384503635;HRANA;
JUHA U CASI PIL.63 G RAMEN AJINOMOTO;876792;AJINOMOTO;0,063 KG;KOM;1,69;26,83;;;1,69;5901384500627;HRANA;
JUHA U CASI SVINJ.62 G RAMEN AJINOMOTO;876793;AJINOMOTO;0,062 KG;KOM;1,69;27,26;;;1,69;5901384504755;HRANA;
JUHA U CASI MISO 66 G RAMEN AJINOMOTO;876794;AJINOMOTO;0,066 KG;KOM;1,69;25,61;;;1,69;5901384500610;HRANA;
VANILIN SECER 80 G 8+2 GR;876795;DR.OETKER;0,080 KG;KOM;1,76;22,00;;;1,76;5997381367288;HRANA;
PAPAR ZELENI ZRNO 29 G KOTANY MLINAC;876799;KOTANYI ZACINI;0,029 KG;KOM;4,29;147,93;;;4,29;9001414441664;HRANA;
GRILL MAGIC DUST 80 G KOTANY BOCICA;876800;KOTANYI ZACINI;0,080 KG;KOM;2,79;34,88;;;2,79;9001414206850;HRANA;
RAJCICA PASIR. 690 G BIO PODRAVKA;876811;PODRAVKA PRERADJEVINE OD POVRCA;0,690 KG;KOM;2,95;4,28;;;2,95;3856020239695;HRANA;
RAJCICA PELAT 400 G BIO PODRAVKA;876812;PODRAVKA PRERADJEVINE OD POVRCA;0,400 KG;KOM;2,52;6,30;;;2,52;3856020235987;HRANA;
VEG.NAT.TALIJAN. JELA 30 G PODRAVKA;876816;VEGETA;0,030 KG;KOM;,99;33,00;;;1,09;3856020237639;HRANA;
FANT ZAP.PIL. 4 SIRA 40 G PODRAVKA;876817;FANT;0,040 KG;KOM;1,39;34,75;;;1,39;3856020236502;HRANA;
UMAK PAD THAI 120 G BLUE DRAGON;876896;BLUE DRAGON;0,120 KG;KOM;;13,25;1,59;1,99;1,99;5010338101176;HRANA;
TANDOORI PASTE 170 G BLUE DRAGON;876898;BLUE DRAGON;0,170 KG;KOM;3,49;20,53;;;3,49;5011308700351;HRANA;
KOMPOT BRESKVE POLOVICE U SIRUPU 420 G DEL MONTE;876906;DEL MONTE;0,420 KG;KOM;2,05;4,88;;;2,05;024000181521;HRANA;
MED CVJETNI 300 G MEDO FLOR;876918;MEDO-FLOR MED;0,300 KG;KOM;3,29;10,97;;;3,39;3859888378872;HRANA;
MED BAGREM 680 G MEDO FLOR;876919;MEDO-FLOR MED;0,680 KG;KOM;6,49;9,54;;;6,63;3859888378407;HRANA;
MED BAGREM 300 G MEDO FLOR;876920;MEDO-FLOR MED;0,300 KG;KOM;3,85;12,83;;;3,85;3859888378889;HRANA;
MED CVJETNI EKO 450 G MEDO FLOR;876925;MEDO-FLOR MED;0,450 KG;KOM;5,31;11,80;;;5,31;3859892827427;HRANA;
MED BAGREM EKO 450 G MEDO FLOR;876926;MEDO-FLOR MED;0,450 KG;KOM;5,97;13,27;;;5,97;3859892827434;HRANA;
PROPILIS 15% SPRAY 30 ML MEDO FLOR;876927;MEDO-FLOR MED;0,030 L;KOM;5,17;172,33;;;5,17;3859888378377;HRANA;
APIMIX CLASSIC 216 G MEDO FLOR;876928;MEDO-FLOR MED;0,216 KG;KOM;6,63;30,69;;;6,63;3859892827007;HRANA;
APIMIX SPORT 216 G MEDO FLOR;876929;MEDO-FLOR MED;0,216 KG;KOM;8,65;40,05;;;8,65;3859892827021;HRANA;
MAT.MLIJEC 1000 + VIT.C FORTE , 16 PASTILA MEDO FLOR;876930;MEDO-FLOR MED;0,019 KG;KOM;13,27;698,42;;;13,27;3859892827052;HRANA;
JASMIN TAMPON.16 KOM NATURE NORMAL;876942;JASMIN;16 KOM;KOM;2,25;0,14;;;2,25;3838985899978;DROGERIJA;
SIROKI REZANCI S MRKVOM I JAJIMA 400 G KOLEDA;876953;KOLEDA;;KOM;2,25;;;;2,25;3859888433144;HRANA;
CAPPUCCINO 230 ML FRANCK;876966;FRANCK CAPPUCCINO;0,230 L;KOM;1,79;7,78;;;1,79;3850291050386;HRANA;
MACCHIATO 230 ML FRANCK;876967;FRANCK CAPPUCCINO;0,230 L;KOM;1,79;7,78;;;1,79;3850291050393;HRANA;
TRENDI SPUZVA 10/1;877041;REKORD TIM;10 KOM;KOM;2,19;0,22;;;1,69;3859888122789;PROIZVODI ZA KUCANSTVO;
PIVO OZUJSKO 5% 6 X0,5 L LIM ZAKON PONUDA;877049;OZUJSKO;3 L;KOM;7,67;2,56;;;7,67;3850131005682;PICE;
PEDIGREE JUNIOR PILETINA ZELE 400 G;877058;MARS PETCARE;0,400 KG;KOM;2,39;5,98;;;2,39;5900951284496;HRANA;
FELCE KUPKA 650 ML VANILIJA EBANOVINA;877111;FELCE;0,650 L;KOM;4,99;7,68;;;4,99;8001280068102;DROGERIJA;
DOVE ROLL-ON LOTUS RICE 5O ML;877120;DOVE;0,050 L;KOM;4,94;98,80;;;4,94;59013891;DROGERIJA;
ZOBENO INTEGRALNO BRASNO 800 G FARINA SPECIALE;877121;FARINA SPECIALE;0,800 KG;KOM;2,39;2,99;;;2,39;3858887101047;HRANA;
AXE GEL 250 ML WILD MOHITO CEDARWOOD;877277;AXE;0,250 L;KOM;;8,96;2,24;2,24;2,99;8717163947708;DROGERIJA;
AXE DEO 150 ML WILD  CEDARWOOD;877278;AXE;0,150 L;KOM;;22,73;3,41;3,41;4,55;8720181027680;DROGERIJA;
AXE DEO 150 ML LEATHER  COOKIES;877291;AXE;0,150 L;KOM;;22,73;3,41;3,41;4,55;8710447285428;DROGERIJA;
DOVE GEL 400 ML  EXTRA FRESH;877294;DOVE;0,400 L;KOM;5,99;14,98;;;5,99;8720181313424;DROGERIJA;
COK. RIZA 75 G KANDIT;877337;KANDIT;0,075 KG;KOM;1,59;21,20;;;1,59;3856024800679;HRANA;
SNACK RAJCICA I ZACINSKO BILJE 70 G ELEPHANT;877341;ELEPHANT;0,070 KG;KOM;,99;14,14;;;,99;5949040203000;HRANA;
HIPP 3 BIO COMBIOTIK  600 G;877366;HIPP;0,600 KG;KOM;14,65;24,42;;;14,65;4062300398924;HRANA;
NIVEA DEO 150 ML BLACK  WHITE ULTIMATE IMPACK;877523;NIVEA;0,150 L;KOM;5,25;35,00;;;5,25;9005800329659;DROGERIJA;
NIVEA ROLL-ON 50 ML BLACK   WHITE ULTIMATE;877524;NIVEA;0,150 L;KOM;5,55;37,00;;;5,55;42397663;DROGERIJA;
NIVEA DEO SPREJ 150 ML FRESH BLOSSOM SPREJ;877529;NIVEA;0,150 L;KOM;5,25;35,00;;;5,25;9005800333595;DROGERIJA;
NIVEA DEO 150 ML BLACK   WHITE ULTIMATE IMPACT;877535;NIVEA;0,150 L;KOM;5,25;35,00;;;5,25;9005800329604;DROGERIJA;
SUHI KVAS 4+1 35 G DR.OETKER;877536;DR.OETKER;0,035 KG;KOM;2,19;62,57;;;2,19;4000521024444;HRANA;
KOLAC JEZEK 150 G PEKARNA JURE;877538;;0,150 KG;KOM;1,86;12,40;;;2,39;3830056442748;HRANA;
KOLAC KREMNE ROLICE 100 G PEKARNA JURE;877540;;0,100 KG;KOM;1,46;14,60;;;1,86;3830056442779;HRANA;
KOLAC TIRAMISU 200 G PEKARNA JURE;877542;;0,200 KG;KOM;1,46;7,30;;;1,46;3830056441772;HRANA;
BAKLAVA 250 G PEKARNA JURE;877544;;0,250 KG;KOM;2,65;10,60;;;3,32;3830056441871;HRANA;
KOLAC GIBANICA 200 G PEKARNA JURE;877545;;0,200 KG;KOM;1,99;9,95;;;2,39;3830056442724;HRANA;
BRANCIN MAP 720 G CROMARIS;877570;CROMARIS;0,720 KG;KOM;10,99;15,26;;;10,49;3858890596786;HRANA;
H S SAMPON 900 ML APPLE FRESH;877592;HEAD   SHOULDERS;0,900 L;KOM;8,99;9,99;;;13,27;8001841012254;DROGERIJA;
GIN BEEFEATER PINK TONIC 4,9% 0,25 L LIM;877608;BEEFEATER;0,250 L;KOM;2,48;9,92;;;2,48;5000299618448;PICE;
GIN BEEFEATER TONIC 4,9% 0,25 L LIM;877609;BEEFEATER;0,250 L;KOM;2,48;9,92;;;2,48;5000299618431;PICE;
MASLAC OD KIKIRIKIJA KANTICA 1000 G PROTEINI.SI;877655;PROTEINI.SI;1 KG;KOM;8,79;8,79;;;10,99;3830084723987;HRANA;
PROTEIN 100% NATURAL WHEY COK.500 G PROTEINI.SI;877656;PROTEINI.SI;0,500 KG;KOM;18,58;37,16;;;18,58;3830059011156;HRANA;
PROTEIN NATURAL WHEY VANIL.500 G PROTEINI.SI;877657;PROTEINI.SI;0,500 KG;KOM;18,58;37,16;;;18,58;3830059011163;HRANA;
PROTEINSKA PLOCICA COKO/BANANA 55 G PROTEINI.SI;877658;PROTEINI.SI;0,055 KG;KOM;1,35;24,55;;;1,69;3830059011354;HRANA;
PROTEINSKA PLOCICA KOKOS 55 G PROTEINI.SI;877659;PROTEINI.SI;0,055 KG;KOM;1,35;24,55;;;1,69;3830059011330;HRANA;
PROTEINSKA PLOCICA COKOLADA 55 G PROTEINI.SI;877661;PROTEINI.SI;0,055 KG;KOM;1,35;24,55;;;1,69;3830059011316;HRANA;
COKOLADA COKO/KEKS 100 G MILKA;877662;MILKA CHOCO PROGRAM;0,100 KG;KOM;2,49;24,90;;;2,49;7622201125721;HRANA;
SIR GRCKI GRILL   FRY 250 G VAKUM KOLIOS;877663;KOLIOS;0,250 KG;KOM;3,89;15,56;;;3,89;5201704018208;HRANA;
SLADOLED SNICKERS WHITE ICE BAR 40,8 G STANIC;877683;MARS;0,041 KG;KOM;1,49;36,52;;;1,49;5000159509756;HRANA;
SLADOLED PLAZMA U CASICI 170 ML LEDO;877757;LEDO IMPULSNI SLADOLED;0,170 L;KOM;1,59;9,35;;;1,59;3850116035819;HRANA;
NESCAFE FLAT WHITE 187,2 G DOLCE GUSTO;877760;DOLCE GUSTO KAPSULE;0,187 KG;KOM;5,19;27,72;;;6,49;7613036595735;HRANA;
PUDING PROTEIN BADEM KOKOS 180 G VINDIJA;877761;VINDIJA-Z'BREGOV PROTEIN;0,180 KG;KOM;1,29;7,17;;;1,29;3850108040920;HRANA;
BAGUETTE POLUPECENI 2 KOM 300 G DAN CAKE;877773;;0,300 KG;KOM;1,59;5,30;;;1,59;5900864881003;HRANA;
SLADOLED KIT KAT BIGUSTO KORNET 110 ML;877799;FRONERI;0,110 L;KOM;2,13;19,36;;;2,13;5900130031460;HRANA;
HIPP 2 BIO COMBIOT.600 G;877802;HIPP;0,600 KG;KOM;14,65;24,42;;;14,65;4062300398917;HRANA;
HIPP BIO PRE COMBIOTIK 600 G;877803;HIPP;0,600 KG;KOM;13,5;22,50;;;13,5;4062300398894;HRANA;
PIVO GRIF PALE ALE 5% 0,5 L;877828;GRIF;0,500 L;KOM;2,42;4,84;;;2,42;3859893353147;PICE;
CAREFREE 76 KOM ALOE VERA;877865;CAREEFREE;76 KOM;KOM;3,99;0,05;;;3,99;3574660464368;DROGERIJA;
VINO PLAVAC BVS KV. 0,75 L BLATO;877965;BLATO;0,750 L;KOM;4,49;5,99;;;4,49;3859888154452;PICE;
MLIJEKO TETRATOP 2,8% 6X1L VINDIJA;878008;VINDIJA-Z'BREGOV;6 L;KOM;5,39;0,90;;;6,12;3850108020922;HRANA;
SLADOLED KING COKOLADA U CASICI 120 ML LEDO;878021;LEDO IMPULSNI SLADOLED;0,120 L;KOM;1,99;16,58;;;1,99;3850116034478;HRANA;
SLADOLED KING KARAMELA U CASICI 120 ML LEDO;878024;LEDO IMPULSNI SLADOLED;0,120 L;KOM;1,99;16,58;;;1,99;3850116034560;HRANA;
SLADOLED KONTIKI 4X70 ML LEDO;878054;LEDO MULTIPACK;0,280 L;KOM;3,99;14,25;;;3,99;3850116035307;HRANA;
NAMAZ LJESNJAK MILKA 600 G;878074;MILKA NAMAZI;0,600 KG;KOM;9,49;15,82;;;9,49;7622201521257;HRANA;
SLADOLED KING CHOCO OBSESSION 3 X 110 ML;878078;LEDO OBITELJSKI SLADOLED;0,330 KG;KOM;6,99;21,18;;;6,99;3850116037677;HRANA;
SLADOLED VANILIJA BURBON 2 L LEDO;878083;LEDO OBITELJSKI SLADOLED;2 L;KOM;5,99;3,00;;;5,99;3850116035543;HRANA;
POUCH JAB/BAN/JAGODA TUBA 100 G FRUTEK;878093;FRUTEK;0,100 KG;KOM;1,4;14,00;;;1,4;3838945037105;HRANA;
CEDEVITA PRAH PUC PUC BANANA 5 G;878131;CEDEVITA KOMPRIMATI;0,005 KG;KOM;,39;78,00;;;,39;3850322013694;HRANA;
KAPSULE OMEGA 3  4 G MULTIVITA;878133;MULTIVITA;0,004 KG;KOM;5,49;1372,50;;;5,49;3858881248601;HRANA;
FLIPS MAX SWEET CHILI 25 G;878156;CLIPSY;0,025 KG;KOM;,78;31,20;;;,78;8606014407440;HRANA;
FLIPS MAX SOUR CREAM 25 G;878158;CLIPSY;0,025 KG;KOM;,78;31,20;;;,78;8606014407464;HRANA;
FLIPS MIX CLIPSY 160 G PEPSICO;878160;CLIPSY;0,160 KG;KOM;1,99;12,44;;;1,99;8606017375197;HRANA;
CHOCCO BALLS 300 G NATUREL;878168;NATUREL KONDITORAJ;30 KG;KOM;1,59;0,05;;;1,99;3858889364976;HRANA;
DUO BALLS 300 G NATUREL;878170;NATUREL KONDITORAJ;0,300 KG;KOM;1,59;5,30;;;1,99;3858889364990;HRANA;
CHOCO SHELLS 300 G NATUREL;878171;NATUREL KONDITORAJ;0,300 KG;KOM;1,59;5,30;;;1,99;3858889364983;HRANA;
FLIPS POM BAR ORIGINAL 50  G;878175;POM-BAR;0,050 KG;KOM;1,19;23,80;;;1,19;3856021302718;HRANA;
FLIPS POM BAR PAPRIKA 50 G;878176;POM-BAR;0,050 KG;KOM;1,19;23,80;;;1,19;3856021302732;HRANA;
FLIPS POM BAR KETCHUP 50 G;878177;POM-BAR;0,050 KG;KOM;1,19;23,80;;;1,19;3856021302756;HRANA;
NAPITAK BADEM B.S. BIO 1L RISO SCOTTI;878190;RISO SCOTTI;1 L;KOM;2,85;2,85;;;2,85;8001860220746;HRANA;
NAPITAK ZOB BARISTA BIO 1L RISO SCOTTI;878191;RISO SCOTTI;1 L;KOM;2,29;2,29;;;2,29;8001860209741;HRANA;
ZVAK.JAGODA 27,6 G BIG BABOL;878196;CHUPA CHUPS;0,028 KG;KOM;,59;21,38;;;,59;80908869;HRANA;
ZITARICE COKO/KARAMEL FLAKES B.G. 225 G LINO;878201;LINO;0,225 KG;KOM;3,99;17,73;;;3,99;3856020229573;HRANA;
ZITARICE HONEY RINGS B.G.225 G LINO;878202;LINO;0,225 KG;KOM;3,99;17,73;;;3,99;3856020229542;HRANA;
DJ.HRANA COKOLINO B.G.200 G LINO;878208;LINO;0,200 KG;KOM;2,99;14,95;;;2,99;3856020240998;HRANA;
BOMB.NIMM2 RED FRUIT SOFTIES 90 G;878209;NIMM2;0,090 KG;KOM;1,19;13,22;;;1,19;4014400923599;HRANA;
COK.KNOPPERS NUTBAR 40 G;878210;KNOPPERS;0,040 KG;KOM;,79;19,75;;;,79;40144450;HRANA;
NAP.KNOPPERS NUTBAR 3/1 120 G;878211;KNOPPERS;0,120 KG;KOM;1,99;16,58;;;1,99;4014400929058;HRANA;
BOMB.WERTHER'S SOFT CARAMEL 75 G;878212;WERTHER'S;0,075 KG;KOM;1,19;15,87;;;1,19;4014400923506;HRANA;
WRIGLEY JUICY FRUIT COLA TAPE 56 G;878222;WRIGLEY;0,056 KG;KOM;2,29;40,89;;;2,29;4009900535410;HRANA;
MUESLI SUPER BEZ DOD.SECERA 420 G VITALIS;878234;VITALIS;0,420 KG;KOM;4,59;10,93;;;4,59;4000521035662;HRANA;
JECAM 500 G EKOZONA;878268;EKOZONA;0,500 KG;KOM;2,79;5,58;;;2,79;3858886175193;HRANA;
COUS COUS 500 G EKOZONA;878269;EKOZONA;0,500 KG;KOM;2,69;5,38;;;2,69;3858886175216;HRANA;
ZOBENE PAHULJICE SITNE 500 G EKOZONA;878271;EKOZONA;0,500 KG;KOM;1,99;3,98;;;1,99;3858886175230;HRANA;
ZOBENE PAHULJICE KRUPNE 500 G EKOZONA;878273;EKOZONA;0,500 KG;KOM;1,99;3,98;;;1,99;3858886175247;HRANA;
PAHULJICE 4 VRSTE 500 G EKOZONA;878274;EKOZONA;0,500 KG;KOM;2,59;5,18;;;2,59;3858886175261;HRANA;
BUNDEVINE GOLICE 200 G EKOZONA;878278;EKOZONA;0,200 KG;KOM;2,99;14,95;;;2,99;3858886175391;HRANA;
LAN SJEMENKE 200 G EKOZONA;878280;EKOZONA;0,200 KG;KOM;1,39;6,95;;;1,39;3858886175414;HRANA;
SEZAM 200 G EKOZONA;878281;EKOZONA;0,200 KG;KOM;2,19;10,95;;;2,19;3858886175421;HRANA;
LECA ZELENA 500 G EKOZONA;878284;EKOZONA;0,500 KG;KOM;3,19;6,38;;;3,19;3858886175520;HRANA;
ULJE LANENO 250 ML EKOZONA;878286;EKOZONA;0,250 L;KOM;3,29;13,16;;;3,29;3858886175667;HRANA;
LAN MLJEVENI 200 G EKOZONA;878289;EKOZONA;0,200 KG;KOM;1,59;7,95;;;1,59;3858888733780;HRANA;
RIZA INTEGRALNA 500 G EKOZONA;878290;EKOZONA;0,500 KG;KOM;2,79;5,58;;;2,79;3858886175155;HRANA;
PROSO 500 G EKOZONA;878291;EKOZONA;0,500 KG;KOM;2,25;4,50;;;2,25;3858886175209;HRANA;
COK.EXC.SLANA KARAMELA 100 G LINDT;878296;LINDT;0,100 KG;KOM;1,85;18,50;;;2,65;3046920027281;HRANA;
COK.EXC.DARK 78% 100 G LINDT;878298;LINDT;0,100 KG;KOM;1,85;18,50;;;2,65;3046920010047;HRANA;
KEKS DIGESTIVE B.G. 150 G MCVITIE'S;878299;MCVITIE'S;0,150 KG;KOM;4,39;29,27;;;4,39;5000168195148;HRANA;
KEKS DIGESTIVE COKO.B.G. 150 G MCVITIE'S;878300;MCVITIE'S;0,150 KG;KOM;4,96;33,07;;;4,96;5000168195162;HRANA;
SIR SVJEZI ZRNATI 200 G DOLINE GMUNDNER;878307;DOLINE;0,200 KG;KOM;1,33;6,65;;;1,33;3856022691941;HRANA;
